transcript_id,symbol,report_date,fiscal_year,fiscal_quarter
506955,AAPL,2025-01-30,2025,1
81201aa36c08e10ae102bdd7836ea217,AAPL,2025-05-01,2025,2
8c6850f0f619e76b2f1b87fe135e3b68,AAPL,2025-07-31,2025,3
6d5cbaa142801006089c1e9258af8f18,AAPL,2025-10-30,2025,4
493580,MSFT,2025-01-29,2025,2
356feaba86cbd4413ab502a9a29d7716,MSFT,2025-04-30,2025,3
253947fa58da1b3fca991a204618c86f,MSFT,2025-07-30,2025,4
fa9d3f5cf6b2b4e5953e4d18206a81c9,MSFT,2025-10-29,2026,1
486436,TSLA,2025-01-29,2024,4
8571d2387cdf84f77bcdfbb41b47e157,TSLA,2025-04-22,2025,1
3baf804c5a555aee9a259a6769b9b422,TSLA,2025-07-23,2025,2
a124e2bb78f2eca23ce99ee514b4c69c,TSLA,2025-10-22,2025,3
